series_id,category,week_start,sales_units,segment_label,lag_1,lag_13,lag_52,rolling_4_mean,rolling_13_mean,rolling_4_ratio_to_rolling_mean,rolling_13_recent_trend_delta,week_of_year,month,quarter,category_code,segment_code
HOUSEHOLD,HOUSEHOLD,2016-01-04,64577,stable,67550.0,69502.0,49223.0,61758.75,64326.307692307695,1.0937721375513592,-1952.0,1,1,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-01-11,62194,stable,64577.0,66364.0,55818.0,62431.75,63947.46153846154,1.0343615227828789,-1787.0,2,1,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-01-18,64708,stable,62194.0,63444.0,55367.0,62382.75,63626.692307692305,0.9969743238315079,-1250.0,3,1,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-01-25,67293,stable,64708.0,66536.0,59443.0,64757.25,63723.92307692308,0.9992394673955426,-1828.0,4,1,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-02-01,69396,stable,67293.0,69897.0,65374.0,64693.0,63782.153846153844,1.0401898196095405,-2604.0,5,2,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-02-08,71328,stable,69396.0,63522.0,62050.0,65897.75,63743.61538461538,1.0530860310101635,5874.0,6,2,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-02-15,74002,stable,71328.0,62993.0,64663.0,68181.25,64344.07692307692,1.0461527179393162,8335.0,7,2,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-02-22,70800,stable,74002.0,57575.0,66954.0,70504.75,65190.92307692308,1.0496030409298664,16427.0,8,2,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-02-29,75163,stable,70800.0,69374.0,62345.0,71381.5,66208.23076923077,0.991853631543187,1426.0,9,2,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-03-07,69962,stable,75163.0,61885.0,67534.0,72823.25,66653.53846153847,1.0321291620464619,13278.0,10,3,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-03-14,67798,stable,69962.0,62390.0,62962.0,72481.75,67274.84615384616,0.9652360766675749,7572.0,11,3,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-03-21,66288,stable,67798.0,55210.0,60836.0,70930.75,67690.84615384616,0.9558336828526415,12588.0,12,3,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-03-28,74096,stable,66288.0,67550.0,65659.0,69802.75,68543.0,0.9496473992786817,-1262.0,13,3,1,2,0
HOUSEHOLD,HOUSEHOLD,2016-04-04,72087,stable,74096.0,64577.0,66799.0,69536.0,69046.53846153847,1.0655775425678784,9519.0,14,4,2,2,0
HOUSEHOLD,HOUSEHOLD,2016-04-11,67281,stable,72087.0,62194.0,63284.0,70067.25,69624.23076923077,1.0288258779957826,9893.0,15,4,2,2,0
HOUSEHOLD,HOUSEHOLD,2016-04-18,68456,stable,67281.0,64708.0,62918.0,69938.0,70015.53846153847,0.9620092081557952,2573.0,16,4,2,2,0
HOUSEHOLD,HOUSEHOLD,2016-04-25,69739,stable,68456.0,67293.0,62813.0,70480.0,70303.84615384616,0.9712826333711692,1163.0,17,4,2,2,0
HOUSEHOLD,HOUSEHOLD,2016-05-02,69504,stable,69739.0,69396.0,61786.0,69390.75,70492.0,1.0050186804437191,343.0,18,5,2,2,0
HOUSEHOLD,HOUSEHOLD,2016-05-09,72234,stable,69504.0,71328.0,66605.0,68745.0,70500.30769230769,1.0110408029674884,-1824.0,19,5,2,2,0
HOUSEHOLD,HOUSEHOLD,2016-05-16,71943,stable,72234.0,74002.0,62996.0,69983.25,70570.0,1.0321612671603562,-1768.0,20,5,2,2,0
