category,week_start,sales_units,series_id,price,promo
FOODS,2011-01-24,45936,FOODS,2.957807967688636,
FOODS,2011-01-31,145851,FOODS,2.992837359974282,
FOODS,2011-02-07,141740,FOODS,2.999804447667392,
FOODS,2011-02-14,120641,FOODS,3.0007781397892934,
FOODS,2011-02-21,114126,FOODS,2.9974984261698805,
FOODS,2011-02-28,130587,FOODS,2.991231613461451,
FOODS,2011-03-07,128823,FOODS,2.9968020042241497,
FOODS,2011-03-14,122932,FOODS,3.0054448865278176,
FOODS,2011-03-21,111979,FOODS,3.008345957644149,
FOODS,2011-03-28,121015,FOODS,3.016708348737577,
