series_id,category,total_sales_units,mean_weekly_share,std_weekly_share,min_weekly_share,max_weekly_share,zero_share,share_cv
FOODS_3_282,FOODS,191126,0.01542610882729642,0.016051250567968686,0.0,0.06818120497531231,0.46402877697841727,1.0405249144597035
FOODS_3_281,FOODS,179140,0.013053753818235774,0.013416901026731308,0.0,0.07140587185567263,0.10071942446043165,1.0278193700871106
FOODS_3_318,FOODS,264845,0.01977849767944499,0.01877219133037885,0.0,0.174802671523983,0.12949640287769784,0.949121193865399
FOODS_3_288,FOODS,162029,0.012789829954020697,0.011008291912697856,0.0,0.032092119036937344,0.381294964028777,0.8607066671153994
FOODS_3_607,FOODS,225436,0.017276857568639677,0.013598409840417642,0.0,0.05408391115289693,0.19784172661870503,0.7870881487789181
HOUSEHOLD_1_521,HOUSEHOLD,154796,0.439475818945975,0.3336206680265579,0.0,1.0,0.01079136690647482,0.7591331619261856
FOODS_3_120,FOODS,290132,0.022608752554519586,0.016304673825155793,0.0,0.055152870991797165,0.19424460431654678,0.7211664502868125
FOODS_3_030,FOODS,182547,0.013625662904529769,0.009798785414224364,0.0,0.06433925596890616,0.050359712230215826,0.7191419223329544
FOODS_3_764,FOODS,155362,0.011479324463219077,0.007988334970076609,0.0,0.030627371171578602,0.23741007194244604,0.6958889432624756
FOODS_3_811,FOODS,182974,0.013877300251535047,0.008677937112214937,0.0,0.03346573142905434,0.19424460431654678,0.6253332388088253
HOUSEHOLD_1_459,HOUSEHOLD,173054,0.2806203590399208,0.16868111685103152,0.0,0.5574229691876751,0.2517985611510791,0.601100780528312
HOUSEHOLD_1_334,HOUSEHOLD,174036,0.2799038220141042,0.16758963349682082,0.0,0.5084615384615384,0.2517985611510791,0.5987400682523588
FOODS_3_090,FOODS,1017916,0.07472057567567035,0.044489225730597576,0.0,0.18880616020733773,0.11151079136690648,0.595407962643463
FOODS_3_635,FOODS,282174,0.021114292755824753,0.012529447827611482,0.0,0.06860673919932397,0.050359712230215826,0.5934107276292743
FOODS_3_491,FOODS,199199,0.01463655593481155,0.008676613293895885,0.0,0.03225385785698761,0.08633093525179857,0.59280429990087
FOODS_3_723,FOODS,289170,0.02138632412132691,0.01256813395904537,0.0,0.060938998457240545,0.11510791366906475,0.5876715366205524
FOODS_3_319,FOODS,208363,0.015478630783059341,0.009087606934312034,0.0,0.04284560971859142,0.05755395683453238,0.5871066415162514
FOODS_3_541,FOODS,272632,0.020398339294178447,0.0118915298980762,0.0,0.05635803110603069,0.06474820143884892,0.5829655898247542
FOODS_2_360,FOODS,261878,0.019838363397929683,0.011458717989631235,0.0,0.04710894949454348,0.007194244604316547,0.577603996851225
FOODS_3_808,FOODS,281888,0.020984169266004337,0.012036961925577282,0.0,0.05850566351449652,0.03237410071942446,0.5736210842083661
FOODS_2_128,FOODS,151901,0.01134844557722263,0.006478093530907393,0.0,0.0265843130880786,0.014388489208633094,0.5708353172093912
FOODS_3_681,FOODS,256134,0.02009128354218903,0.011286163627559473,0.0,0.0551517993201266,0.014388489208633094,0.561744280989317
FOODS_3_587,FOODS,402159,0.03288191249107467,0.017212372555767703,8.685079034219212e-05,0.07753339051586815,0.0,0.5234602020317327
FOODS_3_376,FOODS,231286,0.017866062477686465,0.008227008308950404,0.0,0.04527981405328089,0.014388489208633094,0.4604824548904044
FOODS_2_276,FOODS,160385,0.012585110320629131,0.005331474714965266,2.6500596263415928e-05,0.03114367966500916,0.0,0.42363353034943796
FOODS_3_462,FOODS,194512,0.014969611301936286,0.006246794936250966,0.0,0.03741804205290527,0.0035971223021582736,0.4172984061010961
FOODS_3_501,FOODS,202850,0.015446933476855875,0.006334976930034525,0.0,0.03149709207344965,0.08633093525179857,0.4101122685305931
FOODS_3_295,FOODS,205086,0.015616364927343593,0.006173103387902528,0.0,0.0297377810107728,0.08633093525179857,0.3952970756397787
FOODS_3_202,FOODS,300529,0.023529218993558254,0.00880670878712132,6.263571070653082e-05,0.052823781913700865,0.0,0.3742881899111224
FOODS_1_218,FOODS,237733,0.018190266395255342,0.006787602179019265,0.0032830920758095804,0.04045740754143447,0.0,0.37314473749486754
FOODS_3_234,FOODS,254447,0.019974560665496223,0.007212392469591987,0.004407304780398403,0.04836104927763956,0.0,0.36107890383043934
FOODS_3_711,FOODS,193404,0.015046087294536818,0.005224082275024937,0.003769473798888768,0.03445942996813758,0.0,0.3472053679312218
FOODS_3_547,FOODS,181908,0.014075710649628285,0.004709853838844367,0.0042897068700305475,0.028022844042331074,0.0,0.33460860031026185
FOODS_2_197,FOODS,164027,0.012746253714381773,0.00413131347228279,2.6500596263415928e-05,0.02695410443693448,0.0,0.3241198209966096
FOODS_3_412,FOODS,152570,0.011704195466579609,0.0037766452097267615,0.0032953215106447556,0.023956539022127996,0.0,0.32267448202746346
FOODS_3_007,FOODS,187600,0.014501409650006446,0.004519667423754197,0.004111315414333822,0.028599221789883267,0.0,0.3116709018527856
FOODS_3_498,FOODS,168354,0.013082354157210992,0.003940811025542434,0.005618443421652776,0.02681783495039791,0.0,0.30123103060699974
FOODS_3_752,FOODS,204803,0.015904365283212995,0.004492293980297406,0.006335227910947364,0.03493525896414343,0.0,0.2824566652175053
FOODS_3_804,FOODS,204936,0.016003481130567213,0.004407743755126291,1.8550466544233588e-05,0.03069563484153877,0.0,0.275424060500646
FOODS_3_099,FOODS,216471,0.017149628626980922,0.004497771501514729,0.0,0.03176670441676104,0.007194244604316547,0.2622664081739088
FOODS_3_458,FOODS,168416,0.013429975464893334,0.003344739338883385,0.006887621566520649,0.022265333532308612,0.0,0.24905029406991178
FOODS_3_389,FOODS,171940,0.013576565877056204,0.0033201773781565,0.007392712413313665,0.026069269773970838,0.0,0.24455207658716208
FOODS_3_555,FOODS,497881,0.039225681196749206,0.009576998286316373,0.023605610443087746,0.07042950537858464,0.0,0.24415122935099107
FOODS_3_080,FOODS,265811,0.020907157738678295,0.004781171008193954,0.012753606611286656,0.03807744149001348,0.0,0.22868584376482584
FOODS_3_714,FOODS,402111,0.03148063506880725,0.007014133270148313,0.015520767628113233,0.055822466254861584,0.0,0.22280787076936395
FOODS_3_252,FOODS,573723,0.04494606386572839,0.00925712420991108,0.025782278856676496,0.0747362774897193,0.0,0.20596073190225864
FOODS_3_377,FOODS,276989,0.021911499470474882,0.0043336165145556466,0.01294872854505882,0.036742800397219465,0.0,0.1977781812876417
FOODS_3_586,FOODS,932236,0.07325251942451903,0.013449429059351838,0.04761155831343561,0.11263938242862394,0.0,0.1836036380047026
FOODS_3_226,FOODS,368369,0.028936919550000658,0.00511466113165118,0.01809995824483053,0.04807257700006457,0.0,0.17675209425154806
FOODS_3_694,FOODS,395937,0.031146386950493786,0.005433844666499924,0.019462656931891042,0.04700414937759336,0.0,0.17446147686846797
