sku,category,week_start,sales_units,series_id,price,promo
FOODS_1_001,FOODS,2011-01-24,12,FOODS_1_001,2.0,
FOODS_1_001,FOODS,2011-01-31,60,FOODS_1_001,2.0,
FOODS_1_001,FOODS,2011-02-07,82,FOODS_1_001,2.0,
FOODS_1_001,FOODS,2011-02-14,75,FOODS_1_001,2.0,
FOODS_1_001,FOODS,2011-02-21,86,FOODS_1_001,2.0,
FOODS_1_001,FOODS,2011-02-28,81,FOODS_1_001,2.0,
FOODS_1_001,FOODS,2011-03-07,67,FOODS_1_001,2.0,
FOODS_1_001,FOODS,2011-03-14,70,FOODS_1_001,2.0,
FOODS_1_001,FOODS,2011-03-21,66,FOODS_1_001,2.0,
FOODS_1_001,FOODS,2011-03-28,75,FOODS_1_001,2.0,
