model_name,horizon,WAPE,sMAPE,MAE,RMSE,Bias,MedianAE
catboost,1,0.058129330551099694,6.819882205280171,4933.680088442687,7178.957893277363,304.612906722982,3011.084797110023
catboost,2,0.06640431860454465,7.717563693466347,5650.118775122467,8092.521431783354,-96.57145573444512,3449.176454393135
catboost,3,0.06609483929332403,7.924108724536786,5633.769664075049,8041.194874208339,82.18463712570532,3466.1068489651334
catboost,4,0.06890517669719261,8.375283589987355,5882.349962902552,8372.76997919567,825.4078832567423,3756.017245713105
catboost,5,0.07405744432236401,8.874143066466393,6324.715941176478,9177.077282922906,803.123201437181,4021.7960702535274
catboost,6,0.08060995103558781,9.614498779786633,6895.690566268249,10006.569791822014,490.4742041304724,4007.8801766922115
catboost,7,0.077325513241949,9.277991594923952,6622.4305574815335,9635.438223085768,162.18170568682,4100.106210366079
catboost,8,0.0828107693809322,9.921384856484575,7106.440574878309,10350.473601524845,491.6374033249967,4290.564276984955
ets,1,0.06990115654989403,6.407199661728626,5932.8043340558115,9694.9798014616,502.3090138035999,2911.1185677642206
ets,2,0.06749389759113378,6.722436232115986,5742.827364239513,9178.838294554898,474.40571981799064,3117.0978211537295
ets,3,0.08252841800288825,7.963393384277635,7034.529514556809,11258.177518035916,505.06664540198193,3492.44277395228
ets,4,0.07967208254030848,8.189508285366543,6801.507437313446,10618.91121969456,556.4309522928995,3772.8154652609664
ets,5,0.09233687527769534,9.258114562496209,7885.831226975045,12123.618933226066,713.7872566086318,4343.167935459616
ets,6,0.08868845998045319,9.228222290736763,7586.757825396447,11624.121173608655,760.0749926687973,4093.0734984289084
ets,7,0.09619311883533563,9.715211194839046,8238.319060376956,12712.677305008796,857.3568890280542,4253.927132271494
ets,8,0.0944410798611816,9.75782437427541,8104.5005000926685,12452.739765590999,895.6388406565618,4550.851076668754
lightgbm,1,0.05869103968430705,7.09167099127661,4981.3546984842615,9223.518751857944,-88.02908126064156,2577.5844459469336
lightgbm,2,0.06357717095630824,7.658937406898953,5409.566348066154,10276.936465769131,-502.1032235743983,2888.739999292491
lightgbm,3,0.06793518638280642,7.849010542360932,5790.6365498251125,10692.553396287969,-826.3271270120194,2812.878068029375
lightgbm,4,0.06864429325727986,8.10286809929784,5860.078665350605,11496.494034776995,-341.5627429465933,2989.8323883823323
lightgbm,5,0.07705643679085511,8.704773021808085,6580.838409977442,12066.816985216894,-258.2456695405347,3150.9142061503953
lightgbm,6,0.07776628051587457,8.759750840431156,6652.43186527109,13212.183081430489,-831.3720364595204,3304.905198713095
lightgbm,7,0.078145059117303,8.89101052905338,6692.61936607334,13045.176707367926,-1299.3203453363947,3280.6676023481195
lightgbm,8,0.08441975950232622,9.881571503398703,7244.516730536942,14185.208509298911,-1207.1892428184456,3686.5087984349666
mlp,1,0.042108055194000536,5.097241451998605,3573.887252856998,5444.693551112459,-179.40158209445792,2144.841796875
mlp,2,0.05084454437270202,5.84196160193083,4326.190235962907,6732.506503642341,-65.87116520579268,2367.3984375
mlp,3,0.05862182550378771,6.555851236508947,4996.787430108762,7535.684651457066,273.35442357281454,2957.841796875
mlp,4,0.06285693933925801,6.990639221828707,5366.019398155275,7958.737953653326,477.5606062063834,3194.75390625
mlp,5,0.06860026484591347,7.506718983987636,5858.657324863346,8891.834144851922,1121.452865550227,3203.4931640625
mlp,6,0.0746692659177604,8.04649839225103,6387.50112069859,9776.482924319831,1289.6349049025705,3514.75
mlp,7,0.0788559019552504,8.558385247076986,6753.498461914062,10200.49691818596,1345.7498974609375,3767.9482421875
mlp,8,0.08398553896129837,8.960664522664574,7207.253914428916,11163.018201817333,1156.7142336029103,4044.8515625
naive,1,0.09966975297838498,8.166840823447354,8459.38996763754,13743.89223704932,-236.2864077669903,3227.5
naive,2,0.09052519967744395,8.096648666211296,7702.482926829268,12488.167860246396,-406.77886178861786,3401.0
naive,3,0.05818101827934006,6.346837326994232,4959.214052287582,7459.385225088895,-477.4950980392157,2826.0
naive,4,0.07072425033486038,7.354004812444701,6037.642036124795,9388.159245019879,-521.5106732348112,3443.0
naive,5,0.10216761486814963,9.25741794205665,8725.404290429044,14097.343242845463,-520.8696369636964,3769.5
naive,6,0.10594574229611671,9.446085394840711,9063.013266998341,14506.808353961727,-620.6285240464344,3764.0
naive,7,0.08169423484235228,8.377265851564376,6996.583333333333,10840.325560916825,-677.4633333333334,3835.5
naive,8,0.07202920420349056,8.04599702643577,6181.21608040201,9376.185661797079,-782.14405360134,3525.0
nbeats,1,0.043235819551447716,5.091924286479674,3669.6053439143407,5554.714324688709,-109.14034530491504,2160.8134765625
nbeats,2,0.04811307659820426,5.737765964297578,4093.7788856072157,6345.733486600737,-92.0958984375,2181.60546875
nbeats,3,0.05662677032508466,6.573659979494215,4826.733588324652,7279.690837401934,254.93625695720996,2820.37158203125
nbeats,4,0.06018607254431099,7.064023608349521,5138.010793501129,7544.200071943403,275.0685117123358,3237.859375
nbeats,5,0.07162114945586096,7.803586292831623,6116.6494446807965,9225.85088107161,888.7640763588078,3347.8251953125
nbeats,6,0.07698847294575843,8.299467788332569,6585.895162857587,10025.439568986414,1154.2668104788556,3600.994140625
nbeats,7,0.08353749178790935,8.939307767870751,7154.446380208334,11001.007776752576,1284.4041536458333,3645.1884765625
nbeats,8,0.08258921724485277,9.147695199826885,7087.427986285595,10941.591448066221,1012.8926468278894,4035.87109375
ridge,1,0.053644428928811085,7.463464951197028,4553.027677297879,6354.236820799434,-641.9017558769899,3200.595189963704
ridge,2,0.05984717657313255,8.038220996878756,5092.193747332322,7077.1370732091045,-673.7778934438658,3527.341994628543
ridge,3,0.060853417413066366,8.267907233742148,5187.003110115103,7387.845181269985,-611.3247255174196,3421.538518979327
ridge,4,0.0714609245810236,10.663035311522528,6100.53100807581,8557.686428284158,-1081.0197230562057,4190.024412584957
ridge,5,0.08081642854736314,12.483812992034748,6901.952377907025,9847.007986738072,-1022.0036971323848,4734.413968198405
ridge,6,0.08511713814144051,12.997284554288157,7281.252983897221,10579.623402975649,-1046.9530983523653,4880.818368137436
ridge,7,0.08602764877098587,12.843940727134495,7367.712235244465,10574.081600974967,-803.9277633051455,4834.963957016393
ridge,8,0.09261146170648475,14.921292433204043,7947.491058104975,11193.440374725304,-1127.294651704939,5201.488098181304
seasonal_naive,1,0.12412288799344592,15.165616008650737,10534.830097087379,15962.588783918041,-6743.5873786407765,6224.0
seasonal_naive,2,0.14817682962148052,16.414123065766642,12607.865040650406,18820.066993953835,-6834.544715447155,7331.0
seasonal_naive,3,0.14373544175311437,16.40062601829511,12251.67320261438,18256.280307070407,-6853.754901960784,6928.5
seasonal_naive,4,0.11762978499979775,15.181748715302009,10041.909688013136,15068.738910616305,-6870.402298850575,6530.0
seasonal_naive,5,0.11759498567457045,15.336194107980564,10042.945544554455,14699.059114328871,-6808.833333333333,6002.0
seasonal_naive,6,0.1436093677334921,16.725914970061787,12284.907131011609,17963.805368067875,-6814.757877280265,7329.0
seasonal_naive,7,0.14867315442342283,17.136721791800127,12732.895,18571.328138244,-6772.658333333334,7237.5
seasonal_naive,8,0.13117732748933314,16.326391671154628,11257.036850921273,16168.28458341157,-6844.068676716918,7180.0
