model_a,model_b,metric,mean_difference,median_difference,ci95_low,ci95_high,n_bootstrap,bootstrap_unit
catboost,ets,WAPE,-0.018110970144524487,-0.01855519369263541,-0.023252117385597522,-0.012662078823568557,100,series_id x forecast_origin x horizon
catboost,lightgbm,WAPE,0.008437402516106893,0.008211013457458512,0.0052899778321929885,0.011963550947051206,100,series_id x forecast_origin x horizon
catboost,mlp,WAPE,0.007782233834039207,0.007830971278665885,0.0029597212523009724,0.012135537499900284,100,series_id x forecast_origin x horizon
catboost,naive,WAPE,-0.015885027231015206,-0.01574426868848973,-0.020842235651341183,-0.00980507178584468,100,series_id x forecast_origin x horizon
catboost,nbeats,WAPE,0.009345702730947892,0.009138072274943662,0.004690954336307465,0.014230246420465432,100,series_id x forecast_origin x horizon
catboost,ridge,WAPE,-0.001658941855124568,-0.0017307977480420199,-0.006071651710692703,0.0024474665624638374,100,series_id x forecast_origin x horizon
catboost,seasonal_naive,WAPE,-0.04046542134922098,-0.04072577394276576,-0.04676361885772669,-0.0349987647943169,100,series_id x forecast_origin x horizon
ets,lightgbm,WAPE,0.026548372660631373,0.026490989585470165,0.021235448218724178,0.031236093492448304,100,series_id x forecast_origin x horizon
ets,mlp,WAPE,0.025893203978563685,0.025928384244057603,0.02211553410960354,0.03004162270999349,100,series_id x forecast_origin x horizon
ets,naive,WAPE,0.002225942913509275,0.0024249728411751756,-0.0035107224444798266,0.006297576573760547,100,series_id x forecast_origin x horizon
ets,nbeats,WAPE,0.02745667287547238,0.027562154240562114,0.023276168172637418,0.031374433203433874,100,series_id x forecast_origin x horizon
ets,ridge,WAPE,0.016452028289399914,0.01625796129390872,0.012299006397206085,0.020964185415644182,100,series_id x forecast_origin x horizon
ets,seasonal_naive,WAPE,-0.022354451204696493,-0.02222506154982668,-0.030240529479921747,-0.015796323443118224,100,series_id x forecast_origin x horizon
lightgbm,mlp,WAPE,-0.0006551686820676866,-0.0006178058065574137,-0.004729995345052118,0.0033142358423365235,100,series_id x forecast_origin x horizon
lightgbm,naive,WAPE,-0.0243224297471221,-0.024304175796316954,-0.029735755120285118,-0.01888616414099884,100,series_id x forecast_origin x horizon
lightgbm,nbeats,WAPE,0.0009083002148409994,0.0008301735682523792,-0.003942496005087514,0.004952801464631463,100,series_id x forecast_origin x horizon
lightgbm,ridge,WAPE,-0.01009634437123146,-0.010114996854791235,-0.014212389121347388,-0.006170939603098007,100,series_id x forecast_origin x horizon
lightgbm,seasonal_naive,WAPE,-0.04890282386532787,-0.04895896359832551,-0.0546279789967044,-0.04362705362538298,100,series_id x forecast_origin x horizon
mlp,naive,WAPE,-0.023667261065054415,-0.023715059332969485,-0.028972340665158792,-0.019099345206658003,100,series_id x forecast_origin x horizon
mlp,nbeats,WAPE,0.0015634688969086864,0.00163530437407328,-0.000701383181784476,0.0035413902627746087,100,series_id x forecast_origin x horizon
mlp,ridge,WAPE,-0.009441175689163776,-0.00946816357762868,-0.012577704991514607,-0.006404374490349783,100,series_id x forecast_origin x horizon
mlp,seasonal_naive,WAPE,-0.04824765518326018,-0.048185656936369836,-0.05551643658488282,-0.042475933236880564,100,series_id x forecast_origin x horizon
naive,nbeats,WAPE,0.0252307299619631,0.025235100069035264,0.021327917011568498,0.030241303344331772,100,series_id x forecast_origin x horizon
naive,ridge,WAPE,0.014226085375890636,0.01410453048494803,0.010233766828091314,0.019401540350750555,100,series_id x forecast_origin x horizon
naive,seasonal_naive,WAPE,-0.02458039411820577,-0.02410934291272207,-0.03240179899471596,-0.01838608741113954,100,series_id x forecast_origin x horizon
nbeats,ridge,WAPE,-0.01100464458607246,-0.011074127487482308,-0.014954318409100945,-0.007985743031844248,100,series_id x forecast_origin x horizon
nbeats,seasonal_naive,WAPE,-0.04981112408016886,-0.049838903712255064,-0.05697208624984559,-0.0433325428417338,100,series_id x forecast_origin x horizon
ridge,seasonal_naive,WAPE,-0.038806479494096414,-0.038597165005022055,-0.04551094651366775,-0.032749241908691766,100,series_id x forecast_origin x horizon
