series_id,category,week_start,sales_units,days_in_week
BEVERAGES,BEVERAGES,2012-12-31,343176.0,6
BEVERAGES,BEVERAGES,2013-01-07,395261.0,7
BEVERAGES,BEVERAGES,2013-01-14,398667.0,7
BEVERAGES,BEVERAGES,2013-01-21,363118.0,7
BEVERAGES,BEVERAGES,2013-01-28,379430.0,7
BEVERAGES,BEVERAGES,2013-02-04,362174.0,7
BEVERAGES,BEVERAGES,2013-02-11,382892.0,7
BEVERAGES,BEVERAGES,2013-02-18,376604.0,7
BEVERAGES,BEVERAGES,2013-02-25,408597.0,7
BEVERAGES,BEVERAGES,2013-03-04,414002.0,7
BEVERAGES,BEVERAGES,2013-03-11,387633.0,7
BEVERAGES,BEVERAGES,2013-03-18,376895.0,7
BEVERAGES,BEVERAGES,2013-03-25,412678.0,7
BEVERAGES,BEVERAGES,2013-04-01,441419.0,7
BEVERAGES,BEVERAGES,2013-04-08,412046.0,7
BEVERAGES,BEVERAGES,2013-04-15,399330.0,7
BEVERAGES,BEVERAGES,2013-04-22,394891.0,7
BEVERAGES,BEVERAGES,2013-04-29,452789.0,7
BEVERAGES,BEVERAGES,2013-05-06,401141.0,7
BEVERAGES,BEVERAGES,2013-05-13,430124.0,7
BEVERAGES,BEVERAGES,2013-05-20,396376.0,7
BEVERAGES,BEVERAGES,2013-05-27,424726.0,7
BEVERAGES,BEVERAGES,2013-06-03,426212.0,7
BEVERAGES,BEVERAGES,2013-06-10,403539.0,7
BEVERAGES,BEVERAGES,2013-06-17,416427.0,7
BEVERAGES,BEVERAGES,2013-06-24,397330.0,7
BEVERAGES,BEVERAGES,2013-07-01,403459.0,7
BEVERAGES,BEVERAGES,2013-07-08,364895.0,7
BEVERAGES,BEVERAGES,2013-07-15,373483.0,7
BEVERAGES,BEVERAGES,2013-07-22,378675.0,7
BEVERAGES,BEVERAGES,2013-07-29,416164.0,7
BEVERAGES,BEVERAGES,2013-08-05,402712.0,7
BEVERAGES,BEVERAGES,2013-08-12,401151.0,7
BEVERAGES,BEVERAGES,2013-08-19,397122.0,7
BEVERAGES,BEVERAGES,2013-08-26,440996.0,7
BEVERAGES,BEVERAGES,2013-09-02,465327.0,7
BEVERAGES,BEVERAGES,2013-09-09,428211.0,7
BEVERAGES,BEVERAGES,2013-09-16,435320.0,7
BEVERAGES,BEVERAGES,2013-09-23,425908.0,7
BEVERAGES,BEVERAGES,2013-09-30,459752.0,7
