series_id,category,sku,week_start,sales_units,days_in_week,segment_label
1047679,BEVERAGES,1047679,2012-12-31,16314.0,6,stable
1047679,BEVERAGES,1047679,2013-01-07,28170.0,7,stable
1047679,BEVERAGES,1047679,2013-01-14,24833.0,7,stable
1047679,BEVERAGES,1047679,2013-01-21,19858.0,7,stable
1047679,BEVERAGES,1047679,2013-01-28,18312.0,7,stable
1047679,BEVERAGES,1047679,2013-02-04,16715.0,7,stable
1047679,BEVERAGES,1047679,2013-02-11,17040.0,7,stable
1047679,BEVERAGES,1047679,2013-02-18,15124.0,7,stable
1047679,BEVERAGES,1047679,2013-02-25,18301.0,7,stable
1047679,BEVERAGES,1047679,2013-03-04,19974.0,7,stable
1047679,BEVERAGES,1047679,2013-03-11,18579.0,7,stable
1047679,BEVERAGES,1047679,2013-03-18,17392.0,7,stable
1047679,BEVERAGES,1047679,2013-03-25,20242.0,7,stable
1047679,BEVERAGES,1047679,2013-04-01,21289.0,7,stable
1047679,BEVERAGES,1047679,2013-04-08,20394.0,7,stable
1047679,BEVERAGES,1047679,2013-04-15,19674.0,7,stable
1047679,BEVERAGES,1047679,2013-04-22,19425.0,7,stable
1047679,BEVERAGES,1047679,2013-04-29,20724.0,7,stable
1047679,BEVERAGES,1047679,2013-05-06,19057.0,7,stable
1047679,BEVERAGES,1047679,2013-05-13,20236.0,7,stable
1047679,BEVERAGES,1047679,2013-05-20,18513.0,7,stable
1047679,BEVERAGES,1047679,2013-05-27,20366.0,7,stable
1047679,BEVERAGES,1047679,2013-06-03,21483.0,7,stable
1047679,BEVERAGES,1047679,2013-06-10,21933.0,7,stable
1047679,BEVERAGES,1047679,2013-06-17,21026.0,7,stable
1047679,BEVERAGES,1047679,2013-06-24,20658.0,7,stable
1047679,BEVERAGES,1047679,2013-07-01,20276.0,7,stable
1047679,BEVERAGES,1047679,2013-07-08,18844.0,7,stable
1047679,BEVERAGES,1047679,2013-07-15,19351.0,7,stable
1047679,BEVERAGES,1047679,2013-07-22,20560.0,7,stable
1047679,BEVERAGES,1047679,2013-07-29,21633.0,7,stable
1047679,BEVERAGES,1047679,2013-08-05,20625.0,7,stable
1047679,BEVERAGES,1047679,2013-08-12,19852.0,7,stable
1047679,BEVERAGES,1047679,2013-08-19,20128.0,7,stable
1047679,BEVERAGES,1047679,2013-08-26,26559.0,7,stable
1047679,BEVERAGES,1047679,2013-09-02,22456.0,7,stable
1047679,BEVERAGES,1047679,2013-09-09,20641.0,7,stable
1047679,BEVERAGES,1047679,2013-09-16,21431.0,7,stable
1047679,BEVERAGES,1047679,2013-09-23,22037.0,7,stable
1047679,BEVERAGES,1047679,2013-09-30,21825.0,7,stable
