sales_rank,series_id,category,segment_label,total_sales_units,sales_share,cumulative_sales_share,mean_sales_units,median_sales_units,zero_share,outlier_share,coefficient_of_variation,trend_strength
1,1503844,PRODUCE,medium_noise,6264199.755466789,0.13711644981910828,0.13711644981910828,25885.122956474333,39699.68552312255,0.38016528925619836,0.008333333333333333,0.8066963882556178,0.5403934250126325
2,1047679,BEVERAGES,stable,5512875.0,0.12067077644464243,0.2577872262637507,22780.47520661157,21990.5,0.0,0.0375,0.17069292058075028,0.054497722881250876
3,1473474,PRODUCE,medium_noise,4990322.645790843,0.10923267956862134,0.3670199058323721,20621.167957813403,31339.24904873967,0.38016528925619836,0.025,0.8050209654829342,0.5099624832428913
4,364606,GROCERY I,stable,4416426.0,0.09667071256473371,0.4636906183971058,18249.69421487603,17968.0,0.0,0.016666666666666666,0.174116332559841,0.39594209794136714
5,819932,BEVERAGES,medium_noise,4410943.0,0.09655069571921374,0.5602413141163195,18227.037190082643,18935.5,0.012396694214876033,0.04583333333333333,0.34576221476632835,0.1713733505704369
6,1463992,BEVERAGES,medium_noise,4408545.0,0.096498206134031,0.6567395202503505,18217.128099173555,27343.5,0.371900826446281,0.0125,0.8017988519958592,0.5081043641076304
7,807493,BEVERAGES,medium_noise,4321424.0,0.0945912231687663,0.7513307434191169,17857.12396694215,18535.0,0.0,0.0125,0.4566713728555863,0.8307457135638672
8,265559,GROCERY I,stable,4112827.0,0.09002526403600469,0.8413560074551216,16995.152892561982,16098.0,0.0,0.0375,0.2992935214425219,0.026776700558197142
9,502331,BREAD/BAKERY,stable,3703350.0,0.08106226242138023,0.9224182698765019,15303.099173553719,15163.5,0.0,0.0125,0.11428296140715595,0.1748591276192929
10,314384,GROCERY I,stable,3544341.0,0.07758173012349824,1.0000000000000002,14646.037190082645,14523.5,0.0,0.016666666666666666,0.14524420118397777,0.004261721564631005
