category,week_start,sales_units,days_in_week,series_id
FOODS,2011-01-24,45936,2,FOODS
FOODS,2011-01-31,145851,7,FOODS
FOODS,2011-02-07,141740,7,FOODS
FOODS,2011-02-14,120641,7,FOODS
FOODS,2011-02-21,114126,7,FOODS
FOODS,2011-02-28,130587,7,FOODS
FOODS,2011-03-07,128823,7,FOODS
FOODS,2011-03-14,122932,7,FOODS
FOODS,2011-03-21,111979,7,FOODS
FOODS,2011-03-28,121015,7,FOODS
FOODS,2011-04-04,129467,7,FOODS
FOODS,2011-04-11,123350,7,FOODS
FOODS,2011-04-18,110804,7,FOODS
FOODS,2011-04-25,100337,7,FOODS
FOODS,2011-05-02,114551,7,FOODS
FOODS,2011-05-09,122750,7,FOODS
FOODS,2011-05-16,103543,7,FOODS
FOODS,2011-05-23,102581,7,FOODS
FOODS,2011-05-30,122670,7,FOODS
FOODS,2011-06-06,134305,7,FOODS
FOODS,2011-06-13,124439,7,FOODS
FOODS,2011-06-20,115785,7,FOODS
FOODS,2011-06-27,123605,7,FOODS
FOODS,2011-07-04,138547,7,FOODS
FOODS,2011-07-11,132820,7,FOODS
FOODS,2011-07-18,122688,7,FOODS
FOODS,2011-07-25,114079,7,FOODS
FOODS,2011-08-01,135733,7,FOODS
FOODS,2011-08-08,141460,7,FOODS
FOODS,2011-08-15,136544,7,FOODS
FOODS,2011-08-22,122144,7,FOODS
FOODS,2011-08-29,126182,7,FOODS
FOODS,2011-09-05,142491,7,FOODS
FOODS,2011-09-12,136701,7,FOODS
FOODS,2011-09-19,128815,7,FOODS
FOODS,2011-09-26,139181,7,FOODS
FOODS,2011-10-03,154718,7,FOODS
FOODS,2011-10-10,156503,7,FOODS
FOODS,2011-10-17,133759,7,FOODS
FOODS,2011-10-24,127534,7,FOODS
