sku,category,week_start,sales_units,days_in_week,series_id
FOODS_3_080,FOODS,2011-01-24,355,2,FOODS_3_080
FOODS_3_080,FOODS,2011-01-31,1122,7,FOODS_3_080
FOODS_3_080,FOODS,2011-02-07,1128,7,FOODS_3_080
FOODS_3_080,FOODS,2011-02-14,1034,7,FOODS_3_080
FOODS_3_080,FOODS,2011-02-21,1028,7,FOODS_3_080
FOODS_3_080,FOODS,2011-02-28,1098,7,FOODS_3_080
FOODS_3_080,FOODS,2011-03-07,1062,7,FOODS_3_080
FOODS_3_080,FOODS,2011-03-14,1087,7,FOODS_3_080
FOODS_3_080,FOODS,2011-03-21,1012,7,FOODS_3_080
FOODS_3_080,FOODS,2011-03-28,1196,7,FOODS_3_080
FOODS_3_080,FOODS,2011-04-04,1135,7,FOODS_3_080
FOODS_3_080,FOODS,2011-04-11,1097,7,FOODS_3_080
FOODS_3_080,FOODS,2011-04-18,1243,7,FOODS_3_080
FOODS_3_080,FOODS,2011-04-25,1093,7,FOODS_3_080
FOODS_3_080,FOODS,2011-05-02,1209,7,FOODS_3_080
FOODS_3_080,FOODS,2011-05-09,1144,7,FOODS_3_080
FOODS_3_080,FOODS,2011-05-16,1122,7,FOODS_3_080
FOODS_3_080,FOODS,2011-05-23,1142,7,FOODS_3_080
FOODS_3_080,FOODS,2011-05-30,1280,7,FOODS_3_080
FOODS_3_080,FOODS,2011-06-06,1238,7,FOODS_3_080
FOODS_3_080,FOODS,2011-06-13,1275,7,FOODS_3_080
FOODS_3_080,FOODS,2011-06-20,1136,7,FOODS_3_080
FOODS_3_080,FOODS,2011-06-27,1230,7,FOODS_3_080
FOODS_3_080,FOODS,2011-07-04,1266,7,FOODS_3_080
FOODS_3_080,FOODS,2011-07-11,1174,7,FOODS_3_080
FOODS_3_080,FOODS,2011-07-18,1144,7,FOODS_3_080
FOODS_3_080,FOODS,2011-07-25,1124,7,FOODS_3_080
FOODS_3_080,FOODS,2011-08-01,1299,7,FOODS_3_080
FOODS_3_080,FOODS,2011-08-08,1354,7,FOODS_3_080
FOODS_3_080,FOODS,2011-08-15,1417,7,FOODS_3_080
FOODS_3_080,FOODS,2011-08-22,1274,7,FOODS_3_080
FOODS_3_080,FOODS,2011-08-29,1259,7,FOODS_3_080
FOODS_3_080,FOODS,2011-09-05,1291,7,FOODS_3_080
FOODS_3_080,FOODS,2011-09-12,1138,7,FOODS_3_080
FOODS_3_080,FOODS,2011-09-19,1182,7,FOODS_3_080
FOODS_3_080,FOODS,2011-09-26,1201,7,FOODS_3_080
FOODS_3_080,FOODS,2011-10-03,1265,7,FOODS_3_080
FOODS_3_080,FOODS,2011-10-10,1330,7,FOODS_3_080
FOODS_3_080,FOODS,2011-10-17,1239,7,FOODS_3_080
FOODS_3_080,FOODS,2011-10-24,1317,7,FOODS_3_080
